,Diameter (km),Long,Lat,tag
1966,11.0828578438,-8.63386105933,-54.4703821811,standard
1967,11.9296706857,-6.90363647349,-56.1109508913,?
1968,6.45441104132,-2.22814946428,-54.9186615595,standard
1969,9.96600128636,-3.13006081064,-55.8888184232,standard
1970,13.3759820065,-7.52052242405,-56.9325733938,?
1971,6.70792935405,-4.84021318551,-58.933103754,standard
1972,6.73107942166,-4.42940193427,-58.9826152078,?
1973,6.12191334189,-3.5997505474,-59.0414936933,?
1974,5.07944592625,-2.97483571246,-59.097695884,standard
1975,5.05431190069,-1.81332377084,-58.5851854305,standard
1976,8.05015409138,-86.8216091106,32.1162732305,standard
1977,9.5094832966,-86.2127966996,30.7244506379,standard
1978,5.14902348333,-88.765937764,29.0387792804,standard
1979,6.93157778147,-83.4801791442,31.9068839909,standard
1980,12.1463301042,-83.4749004239,30.2810381305,standard
1981,6.54965553577,-84.1963255351,29.9185660014,standard
1982,7.22114514677,-84.2403148712,30.2528849554,standard
1983,5.01689032986,-81.8701694448,30.8423420585,standard
1984,9.73909870092,-82.181613944,29.6106406491,?
1985,6.55318999459,-79.7833153426,29.1795451558,standard
1986,5.45470656151,-80.2355257172,30.5924826297,?
1987,6.41918885207,-75.3808625907,30.5484932937,standard
1988,6.1822484188,-74.9092969083,29.7197342025,standard
1989,7.0318203279,-73.9415315152,28.8909751113,standard
1990,5.02539938881,-68.4604602434,27.3953376856,?
1991,5.99395784367,-73.9028208995,27.7331757865,standard
1992,6.33603471678,-72.0992581214,26.290325564,standard
1993,6.38726666657,-77.4413230913,26.0545427228,standard
1994,6.21656380592,-80.0771641074,28.6094433606,standard
1995,6.11297058791,-80.2390448641,26.7970827153,?
1996,6.83066621394,-82.3716478758,28.459879618,standard
1997,5.5132864582,-83.5892726976,27.8880182494,standard
1998,7.88679551527,-85.7588267516,28.3331903302,standard
1999,5.46759174673,-87.6838000971,26.7900444216,standard
2000,5.02304948884,-88.9999610317,27.3865398184,standard
2001,5.56430701944,-88.4738485726,23.4591718959,standard
2002,7.22372250558,-87.6644447893,25.1254879454,standard
2003,6.17570440269,-87.3793938917,25.350713346,standard
2004,7.32490952278,-86.1283371744,24.8685902229,standard
2005,5.76635584297,-86.2497477419,24.502598947,?
2006,6.74739105722,-74.1737952095,24.6204903676,standard
2007,6.58880456952,-73.0687830879,23.4574123224,standard
2008,5.01503115195,-73.689912513,23.3412804753,standard
2009,6.73281769489,-74.8424331175,22.5670681608,standard
2010,5.24427997635,-72.2224282624,24.9970390842,standard
2011,10.6337184716,-72.2523410109,24.0116779567,?
2012,5.40500195842,-66.9384292161,25.0146348186,standard
2013,5.84435627705,-73.3767084403,19.0162489548,standard
2014,7.01024506644,-76.8360298273,21.0661520148,standard
2015,5.01450652454,-76.8061170787,21.1858030088,standard
2016,6.48940090228,-76.9099319118,19.6285805127,standard
2017,5.18328177113,-78.8753754465,21.9177855607,standard
2018,7.70649248127,-79.1727433582,20.9728946223,?
2019,6.56952886232,-80.6701403573,19.3470487619,standard
2020,6.86010148199,-80.9569508284,19.3400104682,standard
2021,7.91203724054,-84.108346863,22.2327492068,standard
2022,6.60663343345,-85.7183565624,21.0503158538,standard
2023,17.4178673882,-87.0908238472,22.1905194442,standard
2024,6.06858943422,-87.7330681535,21.7770196853,standard
2025,5.29216796263,-86.1916818183,21.4215858501,standard
2026,5.82036945252,-87.5553512359,20.756467089,standard
2027,5.60072756462,-87.2474258835,19.4332678606,standard
2028,8.0191444686,-87.747144741,19.31537644,standard
2029,8.04044114701,-89.0896992773,22.2697002491,standard
2030,7.39706813896,-88.8609547298,20.5013289399,standard
2031,5.8933612241,-88.8609547298,19.2977807056,standard
2032,6.79245618277,-85.6338970372,20.1546929718,standard
2033,5.81419898777,-86.5172029051,18.8526086247,standard
2034,7.034383357,-84.745312449,18.7171214697,standard
2035,6.53106106559,-78.39149275,18.7646299526,standard
2036,5.77986795696,-78.240169434,17.5012562213,standard
2037,10.1879340107,-80.2566405985,17.6385029498,?
2038,16.3461691244,-78.0184631803,17.8127007205,?
2039,5.97534976407,-75.4230923533,17.1634181204,standard
2040,5.14830620636,-76.5580172234,16.7886289773,standard
2041,7.93113120253,-77.1193211514,18.555240713,standard
2042,8.0098324022,-75.7591708808,15.3035489922,standard
2043,7.21356204961,-75.4002178986,15.0765640182,standard
2044,6.83892393433,-76.918729779,14.9885853461,standard
2045,6.34797317577,-77.52754219,15.7276061918,standard
2046,8.1469913584,-77.3304699645,14.8953279537,standard
2047,6.44650163003,-77.2670860232,14.426456488,?
2048,6.83226168433,-77.0704171682,14.1116669259,?
2049,5.2747194709,-78.7944350682,14.6701025531,standard
2050,6.3797386368,-83.6420599009,15.3932872378,standard
2051,5.08193339364,-81.6572610583,15.1258320746,standard
2052,7.52714854966,-85.9629372709,15.2718766703,standard
2053,7.37972066271,-88.9982014583,12.3492251831,standard
2054,5.99461337582,-87.8808723226,12.4952697788,standard
2055,5.41396771199,-86.3553221484,12.6677079761,standard
2056,7.33864076208,-83.9746192814,13.1498310992,standard
2057,6.90987364231,-85.6550119185,11.990272201,standard
2058,7.64509109728,-82.0056565998,11.7509702129,standard
2059,6.38112876489,-85.7289140031,13.7551243633,standard
2060,14.550691037,-80.4044447676,11.6577128204,?
2061,6.77078782239,-77.8196313813,11.2565300757,standard
2062,9.30505438744,-75.5163497458,12.7979164109,?
2063,7.53402094586,-75.0359861961,11.5134277982,standard
2064,6.40813490466,-70.8024524947,12.7996759843,standard
2065,6.28496804555,-68.8088557849,11.5345426795,standard
2066,7.03324380905,-67.5525203473,10.0758562961,standard
2067,7.00587140031,-65.3864854402,8.10865318795,standard
2068,5.81279201375,-69.9068296127,10.7075431618,standard
2069,9.08181371805,-75.1679542042,10.155037101,standard
2070,6.32166711978,-73.1198107178,9.12744621086,standard
2071,7.31916441781,-73.3784680137,8.27581266493,standard
2072,7.28586085046,-74.5433056323,8.68227413003,standard
2073,9.19004102412,-74.6770332139,8.39370408555,standard
2074,6.45476801275,-75.6060879913,10.2834859622,standard
2075,9.76397199385,-75.9404069453,11.2846832507,?
2076,6.00517135895,-75.8665048607,9.92805212696,standard
2077,6.89233071387,-77.0630148013,9.6025310402,standard
2078,5.15747886961,-76.0354239112,9.55502255726,standard
2079,5.96856856465,-82.0109353201,11.2952406914,?
2080,5.77163514384,-79.9909450087,10.6723516929,standard
